id,empty_slots,free_bikes,name,timestamp
711941ed063e1b191b7c181549e7c11d,0.0,1,Feins Bio Dübendorf,2024-12-13T16:59:50.596429Z
7403c296c9f0c33c637370f2913836d2,0.0,1,Militärkantine,2024-12-13T16:59:50.597298Z
74935bf322f3d7375f6ecfb743772588,0.0,1,La Manivelle,2024-12-13T16:59:50.597036Z
74afaa8cbe88eab9e0001b22d49d2089,0.0,1,Zentral- und Hochschulbibliothek,2024-12-13T16:59:50.598552Z
7504e9a8914a4a1186177efa1a108818,0.0,1,Bioladen Feigenbaum,2024-12-13T16:59:50.595802Z
756aa349c73712644233b00edb11918a,0.0,0,Markt Wärchbrogg,2024-12-13T16:59:50.597238Z
75e5291c826cc78b977047117f13a4fe,0.0,1,JUNG Holzofenbäckerei Klusplatz,2024-12-13T16:59:50.596834Z
764ef7584bce30a01cae95b275d7b8ee,0.0,1,Boulangerie L'Ecureuil,2024-12-13T16:59:50.595837Z
77f5ceb01476752d2af5d357e7e0caa8,0.0,1,Vom Fass Zürich,2024-12-13T16:59:50.598499Z
786038c406b02829fe1925bb1b4bd694,0.0,1,EMS Les Lys,2024-12-13T16:59:50.596367Z
78d34269423ff267bd9aa54d2cf02026,0.0,1,Rad und Fuss,2024-12-13T16:59:50.597675Z
795116b07624e9e5bb587d5c9aa2a175,0.0,1,Velostation Solothurn | ProWork AG,2024-12-13T16:59:50.598436Z
7c450a571e036fc44ba8db8f3cb972c4,0.0,0,LocoEmotion,2024-12-13T16:59:50.597170Z
7c8db6379f5347cddcba033001f1e7f8,0.0,1,Parking Port d'Ouchy,2024-12-13T16:59:50.597568Z
7c9ae9ccaa3a1fdd8f8a45946964c1a7,0.0,1,Gellert-Veloteam GmbH,2024-12-13T16:59:50.596535Z
7eaacb585f81c76542d28dcb1326e9a6,1.0,2,Siedlung Bullingerhof Carvelobox,2024-12-13T16:59:50.597834Z
7f780331bdfe41db1d9cf154ae5d2601,0.0,1,CO13 Werkstätten Carvelobox,2024-12-13T16:59:50.596166Z
7fe731eff062dc09e95e75df3bc10410,0.0,1,Siedlung Wolfbühl HGW Carvelobox,2024-12-13T16:59:50.597964Z
8012ffe4bf4dc7a52f1b6b7342599c88,0.0,1,Café Birdie,2024-12-13T16:59:50.595985Z
813ac258b71ae9724cf11326d96f67e7,0.0,2,Velostation Burgdorf,2024-12-13T16:59:50.598417Z
82e86b88c66ceb42a97a939a533862bd,0.0,1,vélocité Lausanne,2024-12-13T16:59:50.598356Z
832e9c26b9f571c124dfb4ab1be77f63,0.0,1,Librairie Delphica,2024-12-13T16:59:50.597144Z
8358f2b6bede44e44f0772974667516d,1.0,0,Zweiradhuus Tägerwilen,2024-12-13T16:59:50.598597Z
8389c6c614634b700e6f8fd01965286d,0.0,1,Velokurier Biel / Bienne,2024-12-13T16:59:50.598373Z
83eac4a231de764641fae912c64a5093,0.0,2,BrockiShop Bern,2024-12-13T16:59:50.595881Z
856698d2fb5a8935c4c9070ae0ebc7a7,0.0,1,Fächerei | Lokstadt,2024-12-13T16:59:50.596403Z
856bf671e4b6437326fa70a9e2b7d2de,0.0,1,Buchmann Beck Binz,2024-12-13T16:59:50.595924Z
857cda71a01b3582c632b541a79c4887,0.0,1,Hofgarten Zwirnerstrasse Carvelobox,2024-12-13T16:59:50.596673Z
